idx,label,anomalyScore
9515,5,0.120379
28761,3,0.086193
33598,9,0.138403
34080,7,0.127377
43673,3,0.099886
11316,0,0.085350
19936,0,0.057250
48068,4,0.129764
48559,4,0.112498
27056,4,0.135149
40929,8,0.115941
43630,8,0.113433
29031,1,0.138349
41196,1,0.128660
43175,9,0.143642
53001,5,0.099418
13832,3,0.088062
14745,9,0.141592
24313,8,0.127789
37040,8,0.122877
42836,0,0.082938
9680,3,0.090100
14132,0,0.031728
29965,7,0.143182
46254,7,0.111534
48530,0,0.062972
32504,8,0.093367
42710,9,0.122452
46108,1,0.139136
7463,0,0.090914
12108,0,0.081015
15454,3,0.124762
35441,9,0.123307
59207,6,0.126945
19877,2,0.115930
23515,5,0.111692
49495,3,0.126581
53547,4,0.137320
58665,3,0.124928
1020,7,0.097136
6228,0,0.091137
24238,6,0.105547
46068,6,0.108516
53512,9,0.132565
22568,3,0.121493
55564,9,0.140130
49544,8,0.096332
59431,5,0.073780
553,1,0.130685
20077,6,0.133430
29349,5,0.088343
30042,3,0.118021
34765,9,0.132560
23424,9,0.120838
46485,0,0.090613
8197,7,0.133964
5721,4,0.133535
8974,4,0.132475
18834,1,0.140585
32679,2,0.095042
39486,1,0.136832
50772,1,0.138456
12862,2,0.105189
43490,7,0.123249
50789,1,0.144657
56539,1,0.153197
10932,2,0.089906
28690,9,0.123074
35667,9,0.125848
40248,3,0.123043
44657,0,0.085223
46232,8,0.130690
35778,1,0.146239
57277,8,0.116967
2815,7,0.102764
4299,7,0.127311
5772,5,0.119444
6223,2,0.120777
21402,1,0.141048
7234,9,0.132381
29628,8,0.128696
44146,7,0.125353
44770,9,0.116522
375,9,0.129916
8269,7,0.119190
18629,9,0.054721
49786,5,0.104026
60000,8,0.114993
5432,8,0.123337
7091,4,0.116930
10629,8,0.120486
21336,7,0.120251
57272,5,0.097589
45677,0,0.032943
59231,1,0.141663
13498,0,0.073922
25611,7,0.119146
28858,1,0.122415
35661,0,0.060751
43450,2,0.120533
4632,6,0.099935
5898,7,0.115322
33725,6,0.128356
56225,5,0.102729
19437,5,0.121309
50210,9,0.134190
5947,7,0.104101
19594,8,0.102013
36473,7,0.118020
16834,8,0.097336
19202,8,0.134728
58305,6,0.097672
38592,1,0.145454
39206,6,0.129704
52762,9,0.142213
135,1,0.095089
20609,0,0.090226
22108,6,0.096952
28416,6,0.097292
31690,1,0.146238
49646,3,0.112447
51808,9,0.111936
52992,7,0.124691
17137,7,0.131436
19606,8,0.116336
32513,4,0.080705
33660,2,0.087793
38198,2,0.066212
14588,4,0.116118
30617,1,0.144303
32894,7,0.122778
53833,7,0.133610
46016,1,0.130222
52749,4,0.117456
55319,4,0.124511
20245,0,0.108148
22869,1,0.138641
23866,8,0.104233
29850,1,0.139732
33982,9,0.142258
7606,7,0.118609
19752,1,0.136499
22000,4,0.127417
34198,0,0.049260
47269,1,0.151876
47774,1,0.149505
1907,6,0.142187
51710,8,0.124966
50687,9,0.136425
53348,4,0.115852
1372,0,0.050799
9092,4,0.135270
12443,9,0.120907
23842,1,0.142056
38600,0,0.069842
10017,2,0.124102
15116,8,0.127524
45297,4,0.135497
50745,2,0.105127
38434,5,0.086834
7045,5,0.125646
20870,3,0.099611
19675,1,0.144112
21296,8,0.042580
22068,2,0.079858
32994,4,0.124581
59381,8,0.062082
6918,0,0.056674
19369,3,0.079980
34498,4,0.088539
41243,6,0.141036
57404,5,0.095957
30540,8,0.116637
48125,7,0.140685
54189,6,0.118821
8863,6,0.107222
18085,2,0.082074
1487,3,0.140708
4700,6,0.094926
27619,2,0.097016
30416,8,0.106169
59945,0,0.114494
6422,0,0.070828
7240,9,0.147622
55955,4,0.136497
21997,0,0.111840
28604,2,0.093978
29447,0,0.119785
47661,8,0.100761
1628,1,0.142648
13879,4,0.148520
29229,4,0.092431
52106,0,0.096698
9889,7,0.126795
35758,0,0.088528
58415,5,0.094714
58867,0,0.079250
4029,2,0.111557
46568,6,0.129660
2002,8,0.113224
29653,7,0.117221
9265,1,0.149564
8308,5,0.118852
34628,2,0.098582
44552,0,0.078167
52975,3,0.109097
28633,7,0.108896
44638,7,0.095913
48232,2,0.085762
55559,6,0.122953
54680,9,0.127316
14120,1,0.133361
48598,9,0.110587
58810,0,0.081930
5,9,0.127326
9520,7,0.127547
59427,5,0.080799
37240,4,0.100130
53978,7,0.092657
50668,1,0.142971
51305,7,0.132766
52132,5,0.118637
23925,6,0.114818
41358,0,0.088520
42886,2,0.097717
43820,4,0.131495
47765,4,0.124101
40565,6,0.125445
58022,3,0.101848
5873,5,0.122572
26344,0,0.110940
48544,1,0.135043
15638,0,0.082233
18240,8,0.131899
18473,7,0.141888
20322,0,0.045520
33740,0,0.094547
35547,4,0.090894
37464,1,0.139793
57081,8,0.119148
26176,1,0.134145
57414,6,0.110807
2096,7,0.106786
4262,8,0.122726
5342,9,0.134736
34312,8,0.107180
59037,1,0.141922
23811,3,0.133650
24207,2,0.076060
29773,0,0.097654
48394,4,0.127532
48595,6,0.119563
34289,5,0.123344
37265,4,0.114562
1054,2,0.110989
3065,2,0.067506
17439,1,0.143476
18843,9,0.129602
32006,1,0.138779
3329,0,0.068917
16312,3,0.084461
43674,6,0.105595
704,7,0.118877
17160,5,0.119769
22028,2,0.093377
27173,3,0.134195
36007,2,0.122810
3928,9,0.131256
28062,7,0.116487
58677,7,0.135942
59722,2,0.114905
18747,9,0.137976
37566,1,0.145190
43501,1,0.146418
45074,2,0.126368
53674,4,0.140974
25004,1,0.144171
33916,4,0.118268
35698,0,0.061909
38729,7,0.137943
48419,4,0.110579
55518,7,0.096657
18656,6,0.121113
59419,0,0.066268
59621,4,0.135323
10201,2,0.101450
27780,9,0.117358
8418,6,0.083435
13511,1,0.144733
40587,0,0.095794
43975,2,0.102843
36604,7,0.114570
9927,6,0.135962
36328,3,0.052547
54936,8,0.105423
15932,4,0.137546
33014,5,0.106720
49158,3,0.056886
12405,2,0.108687
11378,3,0.097067
15219,4,0.123858
22328,4,0.125058
39441,6,0.129828
41854,8,0.112698
20797,6,0.126993
33132,7,0.115556
48214,3,0.132976
49809,8,0.138638
3299,7,0.124644
46054,7,0.135716
48573,5,0.106572
48642,0,0.073349
59376,3,0.052922
8272,9,0.141154
10570,3,0.114989
34859,5,0.108652
36902,2,0.109957
44268,8,0.093855
9909,7,0.110840
29598,6,0.141265
35715,6,0.118403
46657,2,0.094065
52284,8,0.123833
13837,3,0.090443
16388,4,0.139215
32257,9,0.147217
5875,9,0.126589
16719,1,0.142517
25159,5,0.136111
59410,9,0.070203
4562,1,0.141794
19941,1,0.144352
20355,7,0.140582
35331,9,0.132966
35449,1,0.150623
15987,3,0.113491
54191,8,0.130714
59224,2,0.111720
1448,2,0.092146
3142,5,0.116022
20860,8,0.092622
23799,7,0.132561
49904,0,0.135567
32988,5,0.109377
3372,9,0.125948
22755,7,0.101207
23147,5,0.132575
27667,3,0.073263
18648,1,0.146921
42719,9,0.143301
36078,2,0.110291
49612,5,0.088539
11899,7,0.115235
30361,9,0.136642
14383,8,0.129093
34399,9,0.126348
51732,5,0.118304
18258,7,0.082039
39273,4,0.142351
40665,1,0.128799
58489,6,0.064062
608,6,0.123293
27799,8,0.131968
40728,8,0.127432
44104,0,0.122764
46488,4,0.125899
2533,0,0.044106
11759,0,0.050421
19920,2,0.105499
54204,5,0.126439
59098,8,0.099595
23581,4,0.133231
26108,6,0.126752
4471,1,0.135609
24535,8,0.101791
38182,6,0.119265
39386,6,0.074818
18835,7,0.138992
17731,4,0.108741
39320,9,0.131622
51139,7,0.123064
56173,6,0.129033
9053,7,0.120178
20259,4,0.130879
12611,4,0.125537
44682,3,0.097318
41910,1,0.141147
44454,1,0.135338
56238,9,0.142617
6490,3,0.110073
21301,9,0.115214
29423,8,0.101865
35964,0,0.099719
41836,2,0.125309
14478,8,0.113112
30693,3,0.111095
34842,5,0.125115
25813,1,0.148899
35256,7,0.136881
6787,5,0.101176
11815,9,0.114835
12958,5,0.095354
25902,6,0.128998
78,1,0.139203
3478,4,0.135507
26537,9,0.137226
30941,1,0.142356
39561,1,0.137709
20219,7,0.136287
51545,1,0.070432
3069,1,0.145816
5313,7,0.099010
7382,9,0.137420
14010,5,0.114674
34141,3,0.140615
5891,2,0.098928
17005,6,0.089819
27367,3,0.060465
40756,9,0.138794
18317,1,0.144322
25169,9,0.131561
30460,2,0.104938
47773,6,0.116411
49152,0,0.065819
38798,3,0.083229
53056,9,0.121532
7916,3,0.065262
20477,5,0.038979
20875,2,0.109661
22065,4,0.119973
29626,7,0.132362
6865,1,0.148787
7510,7,0.135755
25565,2,0.096845
35192,9,0.136545
38277,1,0.140511
14369,5,0.084809
14754,1,0.146159
51963,4,0.139925
12986,2,0.088318
56600,9,0.139791
59961,5,0.128317
39759,0,0.096132
59763,0,0.108667
8206,7,0.130438
13002,1,0.118797
32389,0,0.093283
40021,3,0.118546
43614,0,0.100016
1791,8,0.081133
14266,6,0.046499
35066,9,0.132335
41078,0,0.083492
42722,9,0.116582
40844,0,0.073441
42858,4,0.128785
54056,9,0.130191
3669,4,0.084345
54429,1,0.140851
45641,6,0.121722
2972,8,0.126191
20170,4,0.095976
30925,7,0.138670
49161,2,0.091344
34951,1,0.148452
42421,6,0.068749
36062,6,0.142551
57491,6,0.115540
59788,1,0.137371
8611,1,0.152781
10191,6,0.101508
18441,5,0.116483
56433,7,0.126951
12693,5,0.135506
34396,7,0.093189
52450,0,0.056512
11234,3,0.115803
38681,9,0.144217
39804,5,0.137732
42501,9,0.127545
17000,7,0.136476
22049,0,0.126417
34306,0,0.095585
37681,5,0.128261
19679,6,0.093147
46865,8,0.067562
47486,7,0.121657
27929,2,0.100009
49849,0,0.107525
23,9,0.142704
59241,4,0.116876
19466,3,0.122414
26182,6,0.123929
47363,7,0.137670
48515,4,0.123876
56597,4,0.137933
55321,4,0.150274
6685,0,0.093348
8338,5,0.115713
44170,7,0.113818
51045,0,0.087641
51251,1,0.136122
22344,1,0.143650
53334,7,0.130050
54138,8,0.139440
938,4,0.122373
11448,4,0.107246
13830,5,0.131068
42825,7,0.132488
10602,1,0.145642
16711,7,0.142019
28866,5,0.112433
29352,2,0.063775
36708,3,0.117885
56969,0,0.082482
3141,7,0.140570
35567,6,0.070217
39114,7,0.095271
41642,1,0.127905
47062,7,0.139899
14600,5,0.091388
53069,6,0.072391
15859,9,0.132240
20177,4,0.120922
20234,6,0.122729
35201,6,0.109305
38529,1,0.150176
50328,8,0.074443
50564,2,0.079762
11862,4,0.141506
13354,3,0.110811
28452,0,0.066317
35894,9,0.127958
36500,9,0.137854
46689,7,0.140892
54828,9,0.130998
54389,1,0.143547
12648,1,0.132593
32879,9,0.124974
46574,8,0.106900
50702,9,0.113871
53112,6,0.111396
27513,0,0.112446
47025,2,0.113715
824,8,0.124491
19574,4,0.124541
21005,6,0.125597
51873,6,0.104284
59909,7,0.129618
15595,5,0.082080
55981,5,0.129135
46479,8,0.125860
4415,2,0.123003
7213,6,0.127086
37449,5,0.136715
40353,1,0.147861
40393,4,0.147636
6141,7,0.120326
15110,3,0.122078
36739,1,0.150598
17796,7,0.133197
18199,2,0.105571
20587,5,0.081993
43050,6,0.138438
54236,0,0.089866
1227,3,0.097246
2223,4,0.138034
12327,3,0.116192
12512,7,0.117800
39855,0,0.085858
2921,1,0.143182
42544,5,0.110168
3188,6,0.138354
12152,3,0.092087
12232,6,0.129748
45583,5,0.144392
2669,8,0.134338
16316,5,0.070060
20316,8,0.103178
22067,1,0.148189
31306,4,0.105953
3845,3,0.134024
9464,0,0.116760
36915,2,0.113846
47993,3,0.125031
21253,5,0.125463
37892,8,0.106934
56785,4,0.146178
18013,8,0.113815
42335,5,0.116382
57053,9,0.129805
57661,3,0.132925
58011,6,0.114140
6187,1,0.145681
7111,9,0.137469
40867,3,0.113246
26332,5,0.090311
32342,4,0.121557
46520,8,0.128326
47723,0,0.073845
12440,7,0.121382
1849,7,0.131197
35779,0,0.081430
3581,5,0.093415
6495,2,0.139216
14210,8,0.106739
54206,6,0.143021
1485,8,0.109000
49947,3,0.138567
5353,7,0.131276
14348,6,0.118196
16569,9,0.123716
19868,5,0.098787
8911,7,0.134769
19019,1,0.148358
28880,2,0.070062
45991,3,0.122779
53053,4,0.138138
20791,3,0.111793
20872,9,0.111194
30438,9,0.135573
51337,0,0.085135
4933,9,0.141153
24884,3,0.132063
26993,4,0.134134
56103,9,0.128623
39925,9,0.116030
40275,8,0.127285
53391,2,0.095038
250,0,0.061946
3842,6,0.103360
11096,2,0.107429
11585,0,0.087198
38251,5,0.123990
1443,5,0.112250
23785,7,0.112547
42545,7,0.100546
55641,3,0.137807
3111,4,0.093506
15648,3,0.127004
16544,0,0.088545
33023,3,0.065295
24063,9,0.130923
24562,7,0.139198
32942,7,0.121899
1822,7,0.139345
2807,0,0.094417
12863,5,0.122229
17094,6,0.119236
21054,2,0.078336
28315,7,0.088286
39724,4,0.111799
53661,8,0.134478
17482,7,0.107027
29798,7,0.142889
31385,1,0.148637
34753,4,0.127551
40366,2,0.104274
3300,8,0.127678
31368,0,0.090995
39138,6,0.132539
53650,4,0.128780
4332,7,0.123741
8079,2,0.123753
35649,7,0.121736
38179,7,0.134828
40118,7,0.129271
44819,7,0.112092
26487,9,0.141516
45977,8,0.131578
4229,4,0.073896
27062,7,0.123433
37582,6,0.129797
52494,8,0.124104
29,2,0.037212
41323,5,0.123947
50049,8,0.130231
57666,8,0.130979
49510,8,0.097290
50239,8,0.133190
6115,2,0.092739
6154,8,0.117405
29507,3,0.085993
31234,2,0.091670
35230,4,0.113683
40409,8,0.136974
57520,6,0.122070
13096,8,0.089709
16788,0,0.073631
34526,3,0.122420
36079,3,0.116554
39683,2,0.071298
57354,6,0.095818
13032,2,0.094584
26569,7,0.125840
35202,4,0.135208
47732,2,0.122254
54439,1,0.141071
10120,0,0.074176
50433,4,0.128338
54494,3,0.101846
4803,4,0.130209
11769,7,0.130303
21231,1,0.138684
30704,8,0.132336
40335,4,0.106565
55304,4,0.129815
8372,8,0.114712
8429,2,0.133744
10256,5,0.082226
20992,7,0.124089
20993,2,0.107539
44126,1,0.134190
49091,2,0.142755
55974,8,0.127018
3035,3,0.098552
9311,0,0.058173
30821,6,0.094558
40551,3,0.136413
41160,4,0.140956
4239,3,0.075900
28444,7,0.100608
41498,9,0.102507
8999,9,0.121075
9719,4,0.127114
28481,8,0.107951
31200,0,0.118889
8412,2,0.077965
10234,8,0.049377
18480,7,0.129721
47176,4,0.117695
10611,5,0.127507
35397,1,0.138206
43925,7,0.138848
6576,1,0.139491
16411,6,0.127539
17469,5,0.118920
45952,7,0.128577
48992,2,0.117740
56794,4,0.121935
1932,6,0.124955
12742,0,0.050252
17299,5,0.113997
25016,8,0.130076
54523,7,0.119271
15466,7,0.129562
33011,6,0.050660
33611,9,0.083205
51008,8,0.131726
57550,7,0.132427
7953,9,0.097566
34603,5,0.134782
41296,9,0.124191
49453,2,0.089487
56278,5,0.076103
5541,7,0.122976
32631,2,0.105382
56929,5,0.129453
57876,4,0.127622
720,5,0.078973
2344,5,0.130519
13141,1,0.151142
38432,6,0.130330
44471,7,0.115727
24405,8,0.100700
41284,3,0.104829
51941,3,0.126049
835,4,0.136224
2497,6,0.099588
35713,0,0.053047
36389,1,0.148756
48957,1,0.147999
2085,0,0.068952
10593,8,0.126453
49994,2,0.123568
1560,3,0.099110
26190,7,0.127436
43078,2,0.108812
55668,5,0.085495
6216,4,0.106793
21437,2,0.103684
21489,6,0.116057
36538,0,0.073624
53499,1,0.147795
1614,4,0.120917
23084,4,0.100439
33449,5,0.109746
34824,4,0.124188
55728,0,0.065216
44218,6,0.110235
45159,2,0.102113
15591,0,0.050814
37243,9,0.136241
44894,0,0.112286
47434,5,0.070317
13932,3,0.096223
18569,1,0.143486
25334,4,0.099070
57129,5,0.111075
934,7,0.117996
11967,5,0.107644
24877,2,0.095266
12739,9,0.139863
31621,6,0.138827
35748,5,0.129692
48377,4,0.133588
35266,8,0.124689
57364,2,0.093692
58976,7,0.131529
5808,4,0.133991
42596,8,0.041519
43571,1,0.151295
51830,7,0.086191
55924,3,0.111818
47772,4,0.132431
51323,7,0.149571
52164,6,0.139193
56385,1,0.145857
19433,2,0.079277
26111,9,0.118332
59718,7,0.129713
25457,0,0.114769
35494,4,0.119091
36296,3,0.046233
6349,2,0.123879
7954,2,0.058868
10819,8,0.136038
14439,8,0.133442
22296,4,0.139672
51763,5,0.102144
3151,3,0.147186
4151,6,0.121635
4391,1,0.148688
13208,6,0.112845
25326,0,0.028882
18180,1,0.144212
42810,4,0.108680
57329,4,0.121439
21792,1,0.131872
29900,3,0.099918
53256,0,0.077637
58297,8,0.123243
20362,1,0.125950
30575,3,0.093482
47432,4,0.109906
35021,2,0.092765
47614,7,0.099168
32476,2,0.109908
49747,3,0.110191
36704,6,0.086665
59770,3,0.122064
4680,2,0.116635
13021,6,0.116826
18249,5,0.137014
25040,0,0.061982
28514,1,0.145879
17944,1,0.127483
20572,9,0.125173
43570,6,0.111757
58652,2,0.127827
14022,1,0.137372
37335,6,0.141596
44297,1,0.150828
50366,7,0.127169
5397,3,0.139243
7959,4,0.113300
8746,9,0.137466
16743,1,0.142004
19620,9,0.129356
53253,3,0.081802
8455,6,0.130669
11694,3,0.099325
17587,1,0.144835
24881,4,0.122211
46031,9,0.117045
8262,4,0.118002
36809,9,0.103798
42204,3,0.095347
54117,4,0.130475
56323,8,0.103473
7166,5,0.119102
15119,5,0.090601
28434,8,0.101556
31715,6,0.108734
42086,5,0.088369
10066,5,0.126280
37083,3,0.127538
38945,5,0.099413
908,2,0.086723
35245,1,0.149226
58121,1,0.140634
11655,0,0.082182
19985,6,0.137719
43526,8,0.104815
51144,8,0.106821
59596,0,0.081544
59713,0,0.093862
15023,3,0.134577
20488,0,0.091754
39642,3,0.127905
42089,3,0.115861
45591,4,0.142786
17749,1,0.144511
39256,4,0.121783
54058,9,0.126743
11718,8,0.118913
46860,6,0.103180
8832,2,0.065205
16158,5,0.104532
28558,1,0.139443
45046,7,0.131876
53100,8,0.117960
41968,1,0.144902
56704,9,0.127583
3430,0,0.113745
5565,7,0.144669
32984,9,0.122845
15813,5,0.117623
27073,8,0.136274
30457,5,0.139930
3626,4,0.122125
6595,3,0.118206
12469,6,0.061538
27641,3,0.128867
54294,1,0.145218
7609,7,0.119337
9869,3,0.102927
12493,7,0.095042
44409,3,0.128962
57216,7,0.108733
41562,6,0.099512
42082,0,0.063760
10502,9,0.131210
20089,0,0.133012
27991,0,0.074738
28789,8,0.086315
45186,7,0.141690
49531,0,0.122931
327,0,0.118929
6586,3,0.117799
10755,6,0.140725
19317,6,0.095783
39275,5,0.098952
6568,6,0.120925
8525,3,0.135993
26252,5,0.121815
53165,7,0.079118
5679,5,0.127534
12163,9,0.130400
23988,8,0.116576
46356,9,0.126005
48100,1,0.136136
29039,5,0.120159
34257,2,0.122720
50670,2,0.097275
1306,9,0.123512
18493,1,0.150906
40276,8,0.087692
57622,7,0.134418
8201,3,0.112863
25287,7,0.136858
40870,5,0.100077
58054,0,0.089021
1235,3,0.132546
7816,6,0.129036
27426,8,0.132303
44938,4,0.128145
13387,8,0.112962
16283,8,0.121551
50788,9,0.123667
11839,7,0.128534
30239,1,0.134986
30584,9,0.136340
47097,0,0.083432
54353,8,0.137739
1764,4,0.145557
