idx,label,iForestAnomalyScore,rForestNormalizedScore
129,1,0.152971,0.759246
130,6,0.132642,0.453779
131,3,0.140898,0.565081
132,4,0.125471,0.431668
133,5,0.153777,0.688412
134,9,0.147274,0.692119
135,1,0.101567,0.395168
136,3,0.111919,0.304754
137,3,0.132671,0.534086
138,8,0.144614,0.596158
139,5,0.116005,0.440734
140,4,0.131330,0.537330
141,7,0.143316,0.695055
142,7,0.128032,0.489591
143,4,0.144199,0.592671
144,2,0.127527,0.408911
145,8,0.139949,0.512601
146,5,0.122077,0.458701
147,8,0.135667,0.382379
148,6,0.133740,0.564354
149,7,0.152068,0.693670
150,3,0.096378,0.328658
151,4,0.127295,0.425320
152,6,0.125911,0.468017
153,1,0.155975,0.848672
154,9,0.155257,0.736664
155,9,0.131256,0.484274
156,6,0.115917,0.483977
157,0,0.097463,0.324289
158,3,0.100733,0.394192
159,7,0.111077,0.401824
160,2,0.100170,0.343618
161,8,0.141248,0.611544
162,2,0.095621,0.273194
163,9,0.144856,0.688766
164,4,0.135713,0.502797
165,4,0.090412,0.278891
166,6,0.123154,0.442706
167,4,0.142580,0.638123
168,9,0.128183,0.582052
169,7,0.140940,0.525491
170,0,0.127429,0.457066
171,9,0.135603,0.635143
172,2,0.107905,0.357321
173,9,0.128566,0.481841
174,5,0.131540,0.527941
175,1,0.155714,0.882776
176,5,0.131203,0.493602
177,9,0.129119,0.618317
178,1,0.152501,0.751283
179,2,0.097353,0.381100
180,3,0.100173,0.289266
181,2,0.152579,0.696617
182,3,0.087471,0.312168
183,5,0.120561,0.473219
184,9,0.141813,0.632160
185,1,0.154167,0.777332
186,7,0.120917,0.367052
187,6,0.136344,0.435938
188,2,0.083870,0.240289
189,8,0.130453,0.438770
190,2,0.097824,0.300992
191,2,0.092783,0.303689
192,5,0.129704,0.491422
193,0,0.119043,0.414793
194,7,0.110164,0.354951
195,4,0.124000,0.476489
196,9,0.144839,0.604420
197,7,0.099032,0.340399
198,8,0.128353,0.478608
199,3,0.102615,0.358459
200,2,0.122407,0.429371
201,1,0.149326,0.732152
202,1,0.145742,0.657998
203,8,0.121445,0.497362
204,3,0.106022,0.364656
205,6,0.135552,0.580849
206,1,0.146921,0.662714
207,0,0.051117,0.192498
208,3,0.114511,0.377985
209,1,0.155598,0.825899
210,0,0.075029,0.219080
211,0,0.133317,0.510324
212,1,0.154298,0.801391
213,7,0.147591,0.689193
214,2,0.091448,0.272553
215,7,0.093261,0.351536
216,3,0.107568,0.393404
217,0,0.118276,0.402516
218,4,0.144870,0.603383
219,6,0.133876,0.464585
220,5,0.101989,0.396068
221,2,0.043927,0.127176
222,6,0.117005,0.370973
223,4,0.062118,0.197322
224,7,0.130229,0.544974
225,1,0.137199,0.463993
226,8,0.113747,0.387481
227,9,0.131071,0.611471
228,9,0.150841,0.702140
229,3,0.094087,0.403986
230,0,0.072438,0.174072
231,7,0.140357,0.674129
232,1,0.155497,0.803410
233,0,0.143236,0.597886
234,2,0.098725,0.343348
235,0,0.122537,0.448614
236,3,0.114081,0.382083
237,5,0.106628,0.387866
238,4,0.137593,0.600627
239,6,0.131908,0.502106
240,5,0.108923,0.474995
241,8,0.152989,0.688200
242,6,0.102334,0.304874
243,3,0.082194,0.293980
244,7,0.130881,0.546862
245,5,0.104274,0.347753
246,8,0.122803,0.428021
247,0,0.065634,0.201260
248,9,0.151882,0.718892
249,1,0.139430,0.616871
250,0,0.064940,0.206128
251,3,0.113739,0.398913
252,1,0.154159,0.758305
253,2,0.108726,0.358170
254,2,0.067532,0.195517
255,3,0.125231,0.485217
256,3,0.100035,0.347015
257,6,0.145264,0.645403
258,4,0.126718,0.534500
259,7,0.154209,0.738599
260,5,0.104128,0.451409
261,0,0.110148,0.359167
262,6,0.130115,0.485408
263,2,0.119894,0.380448
264,7,0.124273,0.511587
265,9,0.128533,0.512793
266,8,0.121055,0.416540
267,5,0.098839,0.335124
268,9,0.149613,0.718580
269,2,0.141204,0.508046
270,1,0.156592,0.853996
271,1,0.158282,0.873911
272,4,0.145510,0.654580
273,4,0.106534,0.369274
274,5,0.111280,0.458105
275,6,0.125792,0.505335
276,4,0.135910,0.558611
277,1,0.159343,0.942808
278,2,0.057038,0.195956
279,5,0.134174,0.452582
280,3,0.127441,0.427023
281,9,0.150982,0.716035
282,3,0.084781,0.260475
283,9,0.126425,0.456068
284,0,0.065295,0.194645
285,5,0.075653,0.274665
286,9,0.150518,0.743588
287,6,0.103287,0.331090
288,5,0.111329,0.468208
289,7,0.137677,0.635584
290,4,0.139821,0.640476
291,1,0.158596,0.870138
292,3,0.123397,0.466475
293,4,0.145317,0.599726
294,0,0.075805,0.261805
295,4,0.039289,0.130540
296,8,0.133326,0.510466
297,0,0.107629,0.377210
298,4,0.120305,0.513740
299,3,0.109280,0.414162
300,6,0.118406,0.368622
301,8,0.150158,0.644762
302,7,0.134497,0.622667
303,6,0.124798,0.501305
304,0,0.096057,0.345857
305,9,0.142662,0.684414
306,7,0.140982,0.572672
307,5,0.084287,0.300514
308,7,0.141165,0.686867
309,2,0.093569,0.273468
310,1,0.154863,0.837096
311,1,0.155498,0.948242
312,6,0.127565,0.507752
313,8,0.101926,0.355468
314,9,0.150792,0.691846
315,4,0.126578,0.504139
316,1,0.154512,0.843872
317,5,0.120581,0.447239
318,2,0.073796,0.256687
319,2,0.120402,0.415475
320,9,0.146185,0.654040
321,0,0.128359,0.452056
322,3,0.122578,0.470505
323,9,0.138842,0.544123
324,6,0.119844,0.340026
325,7,0.132221,0.501188
326,2,0.092117,0.294685
327,0,0.131621,0.465429
328,3,0.106525,0.331229
329,5,0.129799,0.447493
330,4,0.109395,0.500705
331,3,0.125133,0.430841
332,6,0.132962,0.493998
333,5,0.129715,0.507766
334,8,0.113965,0.383539
335,9,0.133596,0.504399
336,5,0.127538,0.473931
337,4,0.150570,0.655318
338,7,0.129136,0.492057
339,4,0.146429,0.614143
340,2,0.076181,0.231078
341,7,0.139966,0.544717
342,3,0.090969,0.282157
343,4,0.143397,0.642404
344,8,0.118467,0.440829
345,9,0.141721,0.615204
346,1,0.151327,0.795808
347,9,0.143109,0.586378
348,2,0.069108,0.243289
349,8,0.145359,0.502164
350,7,0.117620,0.439530
351,9,0.145306,0.640451
352,1,0.151980,0.709234
353,8,0.110022,0.360922
354,7,0.145043,0.648516
355,4,0.150035,0.696699
356,1,0.145676,0.718423
357,3,0.133787,0.566848
358,1,0.150830,0.761414
359,1,0.153646,0.763232
360,0,0.104309,0.346355
361,2,0.090361,0.236118
362,3,0.114601,0.387777
363,9,0.148004,0.680879
364,4,0.147502,0.664747
365,9,0.154597,0.704151
366,2,0.103521,0.339936
367,1,0.156648,0.868066
368,6,0.122350,0.414256
369,8,0.139933,0.556331
370,4,0.135549,0.631955
371,7,0.154638,0.716420
372,7,0.114172,0.448973
373,4,0.145856,0.593385
374,4,0.133653,0.586258
375,9,0.136139,0.549160
376,2,0.073212,0.267029
377,5,0.139730,0.576317
378,7,0.123950,0.462259
379,2,0.103083,0.289364
380,4,0.148771,0.658408
381,4,0.101803,0.310799
382,2,0.103216,0.365463
383,1,0.146342,0.710359
384,9,0.145780,0.658803
385,7,0.139654,0.521433
386,2,0.058464,0.184905
387,8,0.083451,0.252082
388,7,0.140346,0.586258
389,6,0.147637,0.675482
390,9,0.145477,0.707015
391,2,0.134715,0.439470
392,2,0.081494,0.257880
393,3,0.089852,0.307153
394,8,0.120428,0.411387
395,1,0.146787,0.651807
396,6,0.119243,0.470048
397,5,0.143554,0.635380
398,1,0.151354,0.751990
399,1,0.154840,0.908881
400,0,0.072853,0.279415
401,2,0.095198,0.259759
402,6,0.134431,0.600675
403,4,0.137767,0.605786
404,5,0.108993,0.486462
405,8,0.114205,0.402129
406,3,0.093972,0.348807
407,1,0.144165,0.706743
408,5,0.100942,0.479827
409,1,0.157456,0.902552
410,9,0.142208,0.632071
411,2,0.111122,0.316369
412,7,0.137643,0.612006
413,4,0.153443,0.742102
414,4,0.135062,0.617663
415,4,0.128724,0.506649
416,8,0.096975,0.356394
417,1,0.155661,0.761417
418,5,0.134963,0.585304
419,8,0.140016,0.590851
420,9,0.145646,0.660911
421,5,0.146601,0.654378
422,6,0.119318,0.517678
423,7,0.140409,0.630537
424,9,0.147171,0.677716
425,9,0.093582,0.269447
426,3,0.112775,0.427048
427,7,0.087488,0.252124
428,0,0.074412,0.263840
429,9,0.140892,0.587594
430,0,0.073756,0.215769
431,6,0.136476,0.578030
432,6,0.130021,0.519515
433,2,0.107978,0.356588
434,3,0.118384,0.391469
435,9,0.130167,0.483063
436,0,0.078702,0.288626
437,7,0.152615,0.653602
438,5,0.112573,0.493608
439,4,0.134226,0.521638
440,8,0.121176,0.440650
441,0,0.051293,0.129886
442,9,0.152526,0.766584
443,4,0.147456,0.641962
444,1,0.153560,0.793037
445,2,0.132812,0.506481
446,8,0.119170,0.424016
447,7,0.120390,0.443454
448,1,0.152793,0.733083
449,2,0.108100,0.251820
450,6,0.131204,0.498219
451,1,0.157480,0.855865
452,0,0.121512,0.328763
453,3,0.089822,0.323265
454,0,0.087383,0.284358
455,1,0.157162,0.925249
456,1,0.151873,0.781881
457,8,0.140575,0.551877
458,2,0.095803,0.388453
459,0,0.076049,0.254532
460,3,0.143722,0.518827
461,9,0.127296,0.523103
462,4,0.120426,0.463123
463,0,0.039455,0.190871
464,5,0.141496,0.608780
465,0,0.050997,0.122036
466,6,0.112960,0.371081
467,1,0.158065,0.919452
468,7,0.110203,0.348878
469,7,0.111673,0.319443
470,8,0.099831,0.352792
471,1,0.143560,0.691488
472,9,0.135161,0.607805
473,2,0.144241,0.622397
474,0,0.074781,0.264281
475,5,0.124600,0.500520
476,1,0.150354,0.744014
477,2,0.136152,0.472571
478,2,0.095712,0.342654
479,7,0.129503,0.433550
480,3,0.132159,0.474452
481,5,0.132043,0.462919
482,4,0.125689,0.427233
483,9,0.148259,0.726414
484,7,0.096830,0.287162
485,1,0.156246,0.932114
486,8,0.107937,0.389312
487,3,0.111729,0.341145
488,9,0.133638,0.460323
489,6,0.109375,0.354811
490,0,0.095813,0.312578
491,3,0.115809,0.418017
492,1,0.123992,0.541278
493,1,0.147006,0.639586
494,2,0.107002,0.332190
495,6,0.095777,0.296190
496,3,0.105747,0.315510
497,5,0.133989,0.499297
498,7,0.116594,0.437288
499,6,0.142887,0.578757
500,8,0.128583,0.398096
501,3,0.123119,0.486058
502,9,0.131992,0.485610
503,5,0.145802,0.673549
504,8,0.121070,0.465689
505,5,0.085361,0.268421
506,7,0.122552,0.530419
507,6,0.104044,0.276661
508,1,0.151768,0.705878
509,1,0.146884,0.682995
510,3,0.101661,0.379573
511,1,0.156691,0.828044
512,7,0.126779,0.440488
513,5,0.129054,0.402881
514,5,0.128785,0.514321
515,5,0.143982,0.664598
516,2,0.092568,0.276165
517,5,0.085357,0.287880
518,8,0.115164,0.389752
519,7,0.141443,0.530578
520,0,0.081204,0.289323
521,9,0.136943,0.586257
522,7,0.106598,0.322814
523,7,0.115789,0.488381
524,5,0.137192,0.542433
525,0,0.085749,0.275399
526,9,0.133377,0.511127
527,0,0.064038,0.206351
528,0,0.113134,0.429937
529,8,0.080302,0.194428
530,9,0.139099,0.533988
531,2,0.104967,0.425133
532,4,0.127277,0.408734
533,8,0.134653,0.427064
534,1,0.121633,0.529692
535,6,0.120442,0.401611
536,1,0.119455,0.572672
537,6,0.138083,0.558698
538,5,0.125227,0.519968
539,1,0.157933,0.854059
540,8,0.117794,0.365300
541,3,0.140047,0.531582
542,4,0.128847,0.542587
543,0,0.117599,0.425019
544,5,0.136044,0.556449
545,5,0.102854,0.330168
546,8,0.136507,0.501061
547,3,0.121950,0.392826
548,6,0.135114,0.592664
549,2,0.095368,0.312777
550,3,0.098515,0.362428
551,9,0.144761,0.596599
552,2,0.099857,0.318770
553,1,0.140432,0.644344
554,1,0.146893,0.705709
555,5,0.103314,0.310117
556,2,0.107204,0.367388
557,1,0.154506,0.745229
558,3,0.083156,0.285281
559,2,0.133556,0.489976
560,8,0.116325,0.369183
561,7,0.142921,0.624671
562,3,0.091662,0.325745
563,7,0.107532,0.389769
564,2,0.088500,0.272413
565,4,0.139877,0.584459
566,6,0.116748,0.384470
567,9,0.151965,0.724706
568,7,0.134790,0.541622
569,2,0.113865,0.328198
570,4,0.127426,0.418982
571,2,0.091089,0.255688
572,8,0.124714,0.464727
573,1,0.155790,0.789358
574,1,0.156070,0.765331
575,3,0.147550,0.673132
576,8,0.136402,0.502992
577,4,0.132083,0.553506
578,0,0.082154,0.277614
579,6,0.131780,0.508852
580,5,0.122776,0.507859
581,9,0.145005,0.599647
582,3,0.115565,0.379735
583,0,0.106612,0.399778
584,9,0.145259,0.591254
585,2,0.145360,0.614100
586,4,0.136755,0.590409
587,7,0.141962,0.635648
588,1,0.121057,0.595879
589,2,0.150454,0.678259
590,9,0.131321,0.569589
591,4,0.144627,0.607579
592,2,0.053713,0.219720
593,6,0.132780,0.490312
594,1,0.139898,0.697322
595,8,0.138621,0.519995
596,9,0.139320,0.547666
597,0,0.082005,0.270022
598,6,0.124353,0.428720
599,6,0.110532,0.334246
600,7,0.136121,0.511279
601,9,0.145326,0.771663
602,9,0.137136,0.524884
603,8,0.123754,0.466876
604,0,0.086608,0.316644
605,1,0.159898,0.937334
606,4,0.121996,0.424458
607,4,0.063782,0.156874
608,6,0.115568,0.427530
609,7,0.129268,0.463034
610,1,0.140167,0.661406
611,5,0.105006,0.328748
612,7,0.147980,0.644821
613,0,0.117777,0.419915
614,3,0.132502,0.474721
615,5,0.116027,0.402809
616,8,0.117921,0.389056
617,4,0.117930,0.430089
618,7,0.125943,0.465445
619,1,0.149454,0.809748
620,2,0.119929,0.396204
621,5,0.088852,0.323229
622,9,0.142853,0.620379
623,5,0.069921,0.241283
624,6,0.116532,0.416306
625,7,0.136872,0.575342
626,5,0.133500,0.516975
627,9,0.101303,0.260633
628,8,0.130112,0.451741
629,8,0.133753,0.534369
630,3,0.109907,0.370099
631,6,0.142599,0.697575
632,9,0.123941,0.523684
633,7,0.099287,0.316093
634,0,0.084159,0.331084
635,7,0.155928,0.745429
636,5,0.110134,0.379506
637,7,0.148355,0.754946
638,1,0.140165,0.631422
639,1,0.154740,0.869989
640,0,0.106395,0.416370
641,7,0.100662,0.247052
642,9,0.142480,0.620297
643,2,0.097538,0.363498
644,3,0.106680,0.368024
645,7,0.145942,0.617935
646,3,0.121761,0.428340
647,2,0.145533,0.656636
648,4,0.138833,0.500285
649,1,0.157348,0.898286
650,6,0.114942,0.433920
651,2,0.129246,0.458612
652,7,0.126953,0.424949
653,5,0.145689,0.607548
654,5,0.130571,0.515308
655,7,0.127196,0.545591
656,4,0.130673,0.500446
657,0,0.110383,0.390541
658,2,0.090669,0.355699
659,6,0.100378,0.306442
660,3,0.109815,0.415914
661,6,0.144176,0.621245
662,4,0.124301,0.479274
663,0,0.125047,0.446755
664,4,0.115198,0.461797
665,2,0.124209,0.428956
666,6,0.096932,0.300621
667,0,0.136925,0.517510
668,0,0.097991,0.329606
669,0,0.099485,0.327272
670,0,0.078149,0.338019
671,3,0.061467,0.147602
672,1,0.148559,0.655177
673,6,0.140769,0.509255
674,2,0.091423,0.309199
675,2,0.148612,0.663575
676,3,0.125379,0.418010
677,1,0.156938,0.808102
678,4,0.112483,0.393399
679,1,0.155442,0.905832
680,5,0.130186,0.441744
681,4,0.125565,0.546039
682,6,0.096470,0.330214
683,4,0.143055,0.602371
684,7,0.119908,0.482464
685,2,0.118777,0.384127
686,8,0.118373,0.484710
687,7,0.123721,0.537655
688,9,0.146970,0.627638
689,2,0.124023,0.453058
690,0,0.081367,0.303219
691,5,0.140191,0.550456
692,1,0.147408,0.688291
693,4,0.122036,0.450989
694,2,0.118987,0.413025
695,8,0.144186,0.603841
696,3,0.119009,0.483659
697,2,0.142739,0.583751
698,4,0.107172,0.412477
699,1,0.155495,0.750369
700,5,0.111335,0.350821
701,4,0.135828,0.576601
702,6,0.098241,0.330889
703,0,0.100443,0.355812
704,7,0.118400,0.493317
705,9,0.079178,0.209804
706,8,0.101164,0.397244
707,4,0.116430,0.376946
708,9,0.149798,0.695622
709,8,0.148069,0.613625
710,0,0.069052,0.323739
711,1,0.150302,0.835081
712,1,0.135999,0.628508
713,0,0.084613,0.328577
714,2,0.053789,0.208090
715,2,0.127564,0.469040
716,3,0.106825,0.405943
717,2,0.123786,0.394313
718,4,0.099467,0.341800
719,4,0.133224,0.559560
720,5,0.082860,0.246652
721,8,0.147442,0.681658
722,6,0.104431,0.349935
723,5,0.084547,0.259450
724,7,0.121867,0.434277
725,7,0.105682,0.367202
726,8,0.103733,0.392109
727,8,0.139678,0.554518
728,9,0.141715,0.597778
729,7,0.153073,0.751790
730,4,0.109308,0.336496
731,7,0.128989,0.456565
732,3,0.121280,0.407465
733,2,0.106202,0.302342
734,0,0.082828,0.239581
735,8,0.102702,0.273933
736,6,0.120387,0.404402
737,8,0.146020,0.531329
738,6,0.100636,0.340590
739,1,0.155353,0.838759
740,6,0.115447,0.320188
741,8,0.141094,0.568168
742,9,0.136627,0.593057
743,4,0.115836,0.441436
744,0,0.045631,0.184076
745,9,0.147485,0.672951
746,0,0.058130,0.210489
747,4,0.147289,0.736681
748,1,0.150567,0.749871
749,5,0.123719,0.511891
750,4,0.121114,0.481790
751,7,0.137707,0.612151
752,5,0.110808,0.372087
753,3,0.108199,0.391449
754,7,0.124199,0.436753
755,4,0.158953,0.834994
756,9,0.131279,0.528681
757,8,0.066860,0.174545
758,5,0.105269,0.371285
759,8,0.113683,0.360364
760,6,0.088478,0.325493
761,3,0.117223,0.397793
762,8,0.126541,0.462558
763,6,0.136613,0.537794
764,9,0.123672,0.439601
765,9,0.091415,0.262369
766,1,0.153523,0.692154
767,8,0.125704,0.433699
768,3,0.123860,0.453890
769,5,0.123675,0.459876
770,8,0.088914,0.273897
771,6,0.094906,0.299654
772,5,0.117022,0.429601
773,9,0.099973,0.347246
774,7,0.136667,0.625768
775,2,0.085890,0.293804
776,5,0.139327,0.531832
777,0,0.132426,0.511659
778,8,0.112951,0.401829
779,5,0.144551,0.621391
780,1,0.143561,0.678918
781,1,0.152599,0.818013
782,0,0.051309,0.200171
783,9,0.148362,0.638414
784,1,0.144049,0.639809
785,8,0.138956,0.585434
786,6,0.128377,0.423695
787,7,0.142624,0.706623
788,0,0.085069,0.280923
789,9,0.139520,0.558669
790,3,0.130548,0.466630
791,0,0.062110,0.221777
792,8,0.117823,0.429552
793,8,0.095951,0.266385
794,9,0.131789,0.585300
795,6,0.108317,0.330520
796,7,0.143297,0.582348
797,8,0.148801,0.631144
798,4,0.114754,0.454760
799,7,0.139694,0.586717
800,5,0.116976,0.398439
801,9,0.145087,0.573723
802,2,0.098005,0.341558
803,6,0.135021,0.499863
804,7,0.138501,0.517817
805,4,0.088363,0.293994
806,5,0.135597,0.529029
807,9,0.143850,0.615195
808,2,0.123795,0.421587
809,3,0.145177,0.605691
810,1,0.152841,0.708266
811,6,0.126475,0.384827
812,3,0.120581,0.437076
813,9,0.132667,0.607512
814,2,0.118632,0.409685
815,2,0.083475,0.176283
816,5,0.124562,0.445314
817,6,0.128804,0.545134
818,8,0.118086,0.494381
819,0,0.122524,0.463429
820,7,0.128356,0.525404
821,7,0.122147,0.431252
822,1,0.119896,0.504163
823,9,0.158142,0.763755
824,8,0.129021,0.483330
825,7,0.134679,0.663636
826,0,0.073649,0.257355
827,9,0.068909,0.215858
828,9,0.142747,0.628523
829,4,0.066957,0.188056
830,6,0.119826,0.414674
831,2,0.098395,0.361143
832,8,0.114958,0.382841
833,5,0.144001,0.579589
834,1,0.151307,0.712373
835,4,0.145188,0.592505
836,1,0.150018,0.673802
837,5,0.128517,0.435925
838,5,0.110494,0.373244
839,1,0.156151,0.921260
840,7,0.134592,0.555087
841,3,0.125418,0.448388
842,6,0.120358,0.359870
843,4,0.125709,0.464677
844,3,0.111741,0.429641
845,2,0.111766,0.387605
846,5,0.118222,0.375788
847,6,0.116434,0.384266
848,4,0.106584,0.371929
849,4,0.077324,0.330523
850,0,0.098706,0.316940
851,4,0.136330,0.494787
852,4,0.102838,0.369256
853,6,0.139969,0.610224
854,7,0.139923,0.589914
855,2,0.132471,0.538522
856,4,0.101016,0.389133
857,3,0.144406,0.670475
858,3,0.090500,0.322211
859,8,0.141943,0.571719
860,0,0.059610,0.263357
861,0,0.115228,0.395628
862,3,0.119700,0.413248
863,2,0.085978,0.373753
864,2,0.129418,0.473245
865,9,0.150966,0.739250
866,8,0.120923,0.423203
867,2,0.086415,0.269205
868,3,0.106263,0.373299
869,7,0.126010,0.566504
870,0,0.104722,0.371390
871,1,0.141880,0.623469
872,1,0.154367,0.782031
873,0,0.052663,0.139691
874,2,0.054615,0.220246
875,3,0.103748,0.321460
876,3,0.058905,0.133987
877,8,0.145770,0.580928
878,4,0.121958,0.470170
879,3,0.144764,0.620429
880,5,0.127774,0.505086
881,7,0.132145,0.554525
882,6,0.118144,0.454131
883,4,0.090097,0.323778
884,7,0.106821,0.336987
885,7,0.155210,0.762011
886,8,0.113396,0.435507
887,5,0.061621,0.200713
888,9,0.108937,0.405037
889,7,0.147287,0.668411
890,0,0.058062,0.285046
891,3,0.131496,0.460505
892,1,0.153250,0.783038
893,6,0.144467,0.607657
894,2,0.071795,0.215187
895,4,0.134966,0.432254
896,3,0.086804,0.224240
897,4,0.104694,0.313380
898,4,0.118954,0.485639
899,7,0.134030,0.549425
900,5,0.129621,0.532360
901,9,0.160569,0.759588
902,6,0.125618,0.462640
903,9,0.116737,0.416770
904,0,0.090304,0.278398
905,7,0.121709,0.409828
906,1,0.144625,0.654907
907,4,0.119468,0.397486
908,2,0.078323,0.226984
909,7,0.118726,0.334752
910,3,0.081280,0.245598
911,6,0.109049,0.358598
912,7,0.112197,0.412340
913,5,0.126493,0.508051
914,8,0.105156,0.352141
915,4,0.123737,0.471711
916,5,0.132574,0.519610
917,5,0.113783,0.406698
918,2,0.070898,0.257663
919,7,0.139899,0.495531
920,1,0.149967,0.714887
921,1,0.153253,0.753824
922,5,0.120355,0.443365
923,6,0.149644,0.734163
924,8,0.116222,0.444002
925,5,0.072246,0.228564
926,8,0.107238,0.408430
927,4,0.091028,0.351831
928,0,0.097054,0.373813
929,7,0.125332,0.515880
930,9,0.114149,0.420349
931,9,0.121958,0.440844
932,2,0.084644,0.311996
933,9,0.137457,0.515671
934,7,0.127787,0.449451
935,7,0.108905,0.346456
936,8,0.126909,0.448199
937,7,0.148243,0.680855
938,4,0.125634,0.476763
939,2,0.139022,0.550591
940,6,0.133617,0.533717
941,9,0.133064,0.519476
942,1,0.153285,0.765443
943,7,0.102863,0.253457
944,0,0.124168,0.425535
945,6,0.089015,0.238629
946,4,0.141256,0.629762
947,2,0.116175,0.397616
948,5,0.135670,0.570149
949,7,0.141409,0.507725
950,0,0.091393,0.337450
951,7,0.129761,0.433016
952,1,0.150259,0.679664
953,0,0.134194,0.529529
954,3,0.110633,0.379116
955,7,0.126706,0.444644
956,6,0.139801,0.574156
957,5,0.126269,0.463671
958,0,0.109967,0.402318
959,6,0.133034,0.491391
960,1,0.132737,0.559561
961,5,0.090938,0.316464
962,1,0.151351,0.727734
963,7,0.117263,0.437142
964,8,0.113586,0.460550
965,5,0.108805,0.406125
966,0,0.098710,0.316005
967,3,0.104257,0.378770
968,4,0.113085,0.442570
969,7,0.154452,0.718152
970,7,0.112687,0.363594
971,5,0.129763,0.453882
972,7,0.135698,0.548232
973,8,0.098872,0.274645
974,6,0.135003,0.506649
975,9,0.121621,0.403968
976,3,0.091049,0.281886
977,8,0.142316,0.489522
978,6,0.116052,0.440763
979,1,0.152395,0.784263
980,0,0.105556,0.413470
981,9,0.152729,0.711197
982,7,0.103597,0.325233
983,1,0.152664,0.735955
984,3,0.119796,0.409096
985,0,0.094063,0.246541
986,5,0.126331,0.503392
987,6,0.099255,0.285818
988,4,0.125017,0.487241
989,4,0.123194,0.464896
990,2,0.063569,0.272888
991,4,0.078140,0.300961
992,4,0.129367,0.455448
993,3,0.112247,0.372776
994,1,0.151348,0.793919
995,7,0.095525,0.369023
996,7,0.104245,0.279680
